End_Word,Display_reading,Decimal_Point,Polarity,Annunciator_for_Display,LDC_Display,D14,Start_Word
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '1', '0']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '9']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",2,Positive,"['4', '5']",1,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",1,Positive,"['7', '4']",2,4,\x02
\r,"['0', '0', '0', '0', '2', '4', '0', '8']",1,Positive,"['0', '5']",3,4,\x02
\r,"['0', '0', '0', '0', '0', '0', '0', '0']",3,Positive,"['2', '5']",4,4,\x02
